reference_group_id,document_id,role
RG-seccl-exam=TEM4,TASK1/04-128-15B,member
RG-seccl-exam=TEM4,TASK1/04-128-16B,member
RG-seccl-exam=TEM4,TASK1/04-128-17A,member
RG-seccl-exam=TEM4,TASK1/04-128-18A,member
RG-seccl-exam=TEM4,TASK1/04-128-19B,member
RG-seccl-exam=TEM4,TASK1/04-128-20B,member
RG-seccl-exam=TEM4,TASK1/04-128-21A,member
RG-seccl-exam=TEM4,TASK1/04-128-22B,member
RG-seccl-exam=TEM4,TASK1/04-128-23B,member
RG-seccl-exam=TEM4,TASK1/04-128-24B,member
RG-seccl-exam=TEM4,TASK1/04-128-25B,member
RG-seccl-exam=TEM4,TASK1/04-128-26A,member
RG-seccl-exam=TEM4,TASK1/04-128-27B,member
RG-seccl-exam=TEM4,TASK1/04-128-28B,member
RG-seccl-exam=TEM4,TASK1/04-128-29A,member
RG-seccl-exam=TEM4,TASK1/04-128-30B,member
RG-seccl-exam=TEM4,TASK1/04-128-31A,member
RG-seccl-exam=TEM4,TASK1/04-128-32A,member
RG-seccl-exam=TEM4,TASK1/04-199-01B,member
RG-seccl-exam=TEM4,TASK1/04-199-02A,member
RG-seccl-exam=TEM4,TASK1/04-199-04B,member
RG-seccl-exam=TEM4,TASK1/04-199-05A,member
RG-seccl-exam=TEM4,TASK1/04-199-06B,member
RG-seccl-exam=TEM4,TASK1/04-199-07A,member
RG-seccl-exam=TEM4,TASK1/04-199-08A,member
RG-seccl-exam=TEM4,TASK1/04-199-09A,member
RG-seccl-exam=TEM4,TASK1/04-199-10A,member
RG-seccl-exam=TEM4,TASK1/04-199-11B,member
RG-seccl-exam=TEM4,TASK1/04-199-12B,member
RG-seccl-exam=TEM4,TASK1/04-199-13B,member
RG-seccl-exam=TEM4,TASK1/04-199-14B,member
RG-seccl-exam=TEM4,TASK1/04-199-15A,member
RG-seccl-exam=TEM4,TASK1/04-199-16A,member
RG-seccl-exam=TEM4,TASK1/04-199-17A,member
RG-seccl-exam=TEM4,TASK1/04-199-18B,member
RG-seccl-exam=TEM4,TASK1/04-199-19B,member
RG-seccl-exam=TEM4,TASK1/04-199-20A,member
RG-seccl-exam=TEM4,TASK1/04-199-21A,member
RG-seccl-exam=TEM4,TASK1/04-199-22A,member
RG-seccl-exam=TEM4,TASK1/04-199-23B,member
RG-seccl-exam=TEM4,TASK1/04-199-24B,member
RG-seccl-exam=TEM4,TASK1/04-199-25A,member
RG-seccl-exam=TEM4,TASK1/04-199-26B,member
RG-seccl-exam=TEM4,TASK1/04-199-27A,member
RG-seccl-exam=TEM4,TASK1/04-199-28A,member
RG-seccl-exam=TEM4,TASK1/04-199-29B,member
RG-seccl-exam=TEM4,TASK1/04-199-30B,member
RG-seccl-exam=TEM4,TASK1/04-199-31A,member
RG-seccl-exam=TEM4,TASK1/05-005-01A,member
RG-seccl-exam=TEM4,TASK1/05-005-02A,member
RG-seccl-exam=TEM4,TASK1/05-005-03B,member
RG-seccl-exam=TEM4,TASK1/05-005-04A,member
RG-seccl-exam=TEM4,TASK1/05-005-05B,member
RG-seccl-exam=TEM4,TASK1/05-005-06A,member
RG-seccl-exam=TEM4,TASK1/05-005-07B,member
RG-seccl-exam=TEM4,TASK1/05-005-08B,member
RG-seccl-exam=TEM4,TASK1/05-005-09B,member
RG-seccl-exam=TEM4,TASK1/05-005-10B,member
RG-seccl-exam=TEM4,TASK1/05-005-11B,member
RG-seccl-exam=TEM4,TASK1/05-005-12A,member
RG-seccl-exam=TEM4,TASK1/05-005-13A,member
RG-seccl-exam=TEM4,TASK1/05-005-14B,member
RG-seccl-exam=TEM4,TASK1/05-005-15A,member
RG-seccl-exam=TEM4,TASK1/05-005-16B,member
RG-seccl-exam=TEM4,TASK1/05-005-17B,member
RG-seccl-exam=TEM4,TASK1/05-005-18B,member
RG-seccl-exam=TEM4,TASK1/05-005-19A,member
RG-seccl-exam=TEM4,TASK1/05-005-20A,member
RG-seccl-exam=TEM4,TASK1/05-005-21B,member
RG-seccl-exam=TEM4,TASK1/05-005-23A,member
RG-seccl-exam=TEM4,TASK1/05-005-24B,member
RG-seccl-exam=TEM4,TASK1/05-005-25B,member
RG-seccl-exam=TEM4,TASK1/05-005-26B,member
RG-seccl-exam=TEM4,TASK1/05-005-27A,member
RG-seccl-exam=TEM4,TASK1/05-005-28B,member
RG-seccl-exam=TEM4,TASK1/05-005-29A,member
RG-seccl-exam=TEM4,TASK1/05-005-30B,member
RG-seccl-exam=TEM4,TASK1/05-005-31B,member
RG-seccl-exam=TEM4,TASK1/05-005-32A,member
RG-seccl-exam=TEM4,TASK1/05-010-01A,member
RG-seccl-exam=TEM4,TASK1/05-010-02B,member
RG-seccl-exam=TEM4,TASK1/05-010-03A,member
RG-seccl-exam=TEM4,TASK1/05-010-04A,member
RG-seccl-exam=TEM4,TASK1/05-010-05A,member
RG-seccl-exam=TEM4,TASK1/05-010-06A,member
RG-seccl-exam=TEM4,TASK1/05-010-07A,member
RG-seccl-exam=TEM4,TASK1/05-010-08A,member
RG-seccl-exam=TEM4,TASK1/05-010-09B,member
RG-seccl-exam=TEM4,TASK1/05-010-10B,member
RG-seccl-exam=TEM4,TASK1/05-010-11A,member
RG-seccl-exam=TEM4,TASK1/05-010-12A,member
RG-seccl-exam=TEM4,TASK1/05-010-13A,member
RG-seccl-exam=TEM4,TASK1/05-010-14B,member
RG-seccl-exam=TEM4,TASK1/05-010-15B,member
RG-seccl-exam=TEM4,TASK1/05-010-16B,member
RG-seccl-exam=TEM4,TASK1/05-010-17B,member
RG-seccl-exam=TEM4,TASK1/05-010-18A,member
RG-seccl-exam=TEM4,TASK1/05-010-19A,member
RG-seccl-exam=TEM4,TASK1/05-010-20A,member
RG-seccl-exam=TEM4,TASK1/05-010-21B,member
RG-seccl-exam=TEM4,TASK1/05-010-22A,member
RG-seccl-exam=TEM4,TASK1/05-010-23A,member
RG-seccl-exam=TEM4,TASK1/05-010-24A,member
RG-seccl-exam=TEM4,TASK1/05-010-25B,member
RG-seccl-exam=TEM4,TASK1/05-010-26A,member
RG-seccl-exam=TEM4,TASK1/05-010-27B,member
RG-seccl-exam=TEM4,TASK1/05-010-28A,member
RG-seccl-exam=TEM4,TASK1/05-010-29B,member
RG-seccl-exam=TEM4,TASK1/05-010-30A,member
RG-seccl-exam=TEM4,TASK1/05-010-31A,member
RG-seccl-exam=TEM4,TASK1/05-010-32A,member
RG-seccl-exam=TEM4,TASK1/05-015-01A,member
RG-seccl-exam=TEM4,TASK1/05-015-02B,member
RG-seccl-exam=TEM4,TASK1/05-015-03A,member
RG-seccl-exam=TEM4,TASK1/05-015-04A,member
RG-seccl-exam=TEM4,TASK1/05-015-05A,member
RG-seccl-exam=TEM4,TASK1/05-015-06A,member
RG-seccl-exam=TEM4,TASK1/05-015-07B,member
RG-seccl-exam=TEM4,TASK1/05-015-08B,member
RG-seccl-exam=TEM4,TASK1/05-015-09B,member
RG-seccl-exam=TEM4,TASK1/05-015-10A,member
RG-seccl-exam=TEM4,TASK1/05-015-11B,member
RG-seccl-exam=TEM4,TASK1/05-015-12A,member
RG-seccl-exam=TEM4,TASK1/05-015-13A,member
RG-seccl-exam=TEM4,TASK1/05-015-14A,member
RG-seccl-exam=TEM4,TASK1/05-015-15A,member
RG-seccl-exam=TEM4,TASK1/05-015-16B,member
RG-seccl-exam=TEM4,TASK1/05-015-17A,member
RG-seccl-exam=TEM4,TASK1/05-015-18B,member
RG-seccl-exam=TEM4,TASK1/05-015-19B,member
RG-seccl-exam=TEM4,TASK1/05-015-20B,member
RG-seccl-exam=TEM4,TASK1/05-015-21A,member
RG-seccl-exam=TEM4,TASK1/05-015-22A,member
RG-seccl-exam=TEM4,TASK1/05-015-23A,member
RG-seccl-exam=TEM4,TASK1/05-015-24A,member
RG-seccl-exam=TEM4,TASK1/05-015-25B,member
RG-seccl-exam=TEM4,TASK1/05-015-26B,member
RG-seccl-exam=TEM4,TASK1/05-015-27B,member
RG-seccl-exam=TEM4,TASK1/05-015-28B,member
RG-seccl-exam=TEM4,TASK1/05-015-29B,member
RG-seccl-exam=TEM4,TASK1/05-015-30B,member
RG-seccl-exam=TEM4,TASK1/05-015-32A,member
RG-seccl-exam=TEM4,TASK1/05-020-01B,member
RG-seccl-exam=TEM4,TASK1/05-020-02B,member
RG-seccl-exam=TEM4,TASK1/05-020-03A,member
RG-seccl-exam=TEM4,TASK1/05-020-04B,member
RG-seccl-exam=TEM4,TASK1/05-020-05A,member
RG-seccl-exam=TEM4,TASK1/05-020-06B,member
RG-seccl-exam=TEM4,TASK1/05-020-07A,member
RG-seccl-exam=TEM4,TASK1/05-020-08A,member
RG-seccl-exam=TEM4,TASK1/05-020-09B,member
RG-seccl-exam=TEM4,TASK1/05-020-10B,member
RG-seccl-exam=TEM4,TASK1/05-020-11B,member
RG-seccl-exam=TEM4,TASK1/05-020-12B,member
RG-seccl-exam=TEM4,TASK1/05-020-13A,member
RG-seccl-exam=TEM4,TASK1/05-020-14B,member
RG-seccl-exam=TEM4,TASK1/05-020-15B,member
RG-seccl-exam=TEM4,TASK1/05-020-16B,member
RG-seccl-exam=TEM4,TASK1/05-020-17A,member
RG-seccl-exam=TEM4,TASK1/05-020-18A,member
RG-seccl-exam=TEM4,TASK1/05-020-19A,member
RG-seccl-exam=TEM4,TASK1/05-020-20B,member
RG-seccl-exam=TEM4,TASK1/05-020-21B,member
RG-seccl-exam=TEM4,TASK1/05-020-22A,member
RG-seccl-exam=TEM4,TASK1/05-020-23B,member
RG-seccl-exam=TEM4,TASK1/05-020-24A,member
RG-seccl-exam=TEM4,TASK1/05-020-25B,member
RG-seccl-exam=TEM4,TASK1/05-020-26B,member
RG-seccl-exam=TEM4,TASK1/05-020-27B,member
RG-seccl-exam=TEM4,TASK1/05-020-28A,member
RG-seccl-exam=TEM4,TASK1/05-020-29B,member
RG-seccl-exam=TEM4,TASK1/05-020-30B,member
RG-seccl-exam=TEM4,TASK1/05-020-31B,member
RG-seccl-exam=TEM4,TASK1/05-023-01A,member
RG-seccl-exam=TEM4,TASK1/05-023-02B,member
RG-seccl-exam=TEM4,TASK1/05-023-03A,member
RG-seccl-exam=TEM4,TASK1/05-023-04B,member
RG-seccl-exam=TEM4,TASK1/05-023-05B,member
RG-seccl-exam=TEM4,TASK1/05-023-06B,member
RG-seccl-exam=TEM4,TASK1/05-023-07A,member
RG-seccl-exam=TEM4,TASK1/05-023-08A,member
RG-seccl-exam=TEM4,TASK1/05-023-09A,member
RG-seccl-exam=TEM4,TASK1/05-023-10A,member
RG-seccl-exam=TEM4,TASK1/05-023-11B,member
