reference_group_id,document_id,role
RG-entry_year=2005,WARG0179,member
RG-entry_year=2005,WARG0180,member
RG-entry_year=2005,WARG0181,member
RG-entry_year=2005,WARG0182,member
RG-entry_year=2005,WARG0183,member
RG-entry_year=2005,WARG0184,member
RG-entry_year=2005,WARG0198,member
RG-entry_year=2005,WARG0199,member
RG-entry_year=2005,WARG0200,member
RG-entry_year=2005,WARG0201,member
RG-entry_year=2005,WARG0202,member
RG-entry_year=2005,WARG0206,member
RG-entry_year=2005,WARG0213,member
RG-entry_year=2005,WARG0214,member
RG-entry_year=2005,WARG0215,member
RG-entry_year=2005,WARG0216,member
RG-entry_year=2005,WARG0217,member
RG-entry_year=2005,WARG0218,member
RG-entry_year=2005,WARG0230,member
RG-entry_year=2005,WARG0231,member
RG-entry_year=2005,WARG0232,member
RG-entry_year=2005,WARG0233,member
RG-entry_year=2005,WARG0234,member
RG-entry_year=2005,WARG0235,member
RG-entry_year=2005,WARG0243,member
RG-entry_year=2005,WARG0244,member
RG-entry_year=2005,WARG0245,member
RG-entry_year=2005,WARG0246,member
RG-entry_year=2005,WARG0247,member
RG-entry_year=2005,WARG0257,member
RG-entry_year=2005,WARG0258,member
RG-entry_year=2005,WARG0259,member
RG-entry_year=2005,WARG0286,member
RG-entry_year=2005,WARG0287,member
RG-entry_year=2005,WARG0288,member
RG-entry_year=2005,WARG0289,member
RG-entry_year=2005,WARG0290,member
RG-entry_year=2005,WARG0291,member
RG-entry_year=2005,WARG0292,member
RG-entry_year=2005,WARG0293,member
RG-entry_year=2005,WARG0294,member
RG-entry_year=2005,WARG0295,member
RG-entry_year=2005,WARG0296,member
RG-entry_year=2005,WARG0297,member
RG-entry_year=2005,WARG0298,member
RG-entry_year=2005,WARG0299,member
RG-entry_year=2005,WARG0300,member
RG-entry_year=2005,WARG0301,member
RG-entry_year=2005,WARG0302,member
RG-entry_year=2005,WARG0303,member
RG-entry_year=2005,WARG0304,member
RG-entry_year=2005,WARG0305,member
RG-entry_year=2005,WARG0306,member
RG-entry_year=2005,WARG0307,member
RG-entry_year=2005,WARG0308,member
RG-entry_year=2005,WARG0309,member
RG-entry_year=2005,WARG0310,member
RG-entry_year=2005,WARG0311,member
RG-entry_year=2005,WARG0312,member
RG-entry_year=2005,WARG0313,member
RG-entry_year=2005,WARG0314,member
RG-entry_year=2005,WARG0315,member
RG-entry_year=2005,WARG0316,member
RG-entry_year=2005,WARG0317,member
RG-entry_year=2005,WARG0318,member
RG-entry_year=2005,WARG0319,member
RG-entry_year=2005,WARG0320,member
RG-entry_year=2005,WARG0321,member
RG-entry_year=2005,WARG0322,member
RG-entry_year=2005,WARG0323,member
RG-entry_year=2005,WARG0324,member
RG-entry_year=2005,WARG0325,member
RG-entry_year=2005,WARG0326,member
RG-entry_year=2005,WARG0327,member
RG-entry_year=2005,WARG0366,member
RG-entry_year=2005,WARG0367,member
RG-entry_year=2005,WARG0368,member
RG-entry_year=2005,WARG0369,member
RG-entry_year=2005,WARG0370,member
RG-entry_year=2005,WARG0371,member
RG-entry_year=2005,WARG0372,member
RG-entry_year=2005,WARG0373,member
RG-entry_year=2005,WARG0374,member
RG-entry_year=2005,WARG0375,member
RG-entry_year=2005,WARG0376,member
RG-entry_year=2005,WARG0377,member
RG-entry_year=2005,WARG0378,member
RG-entry_year=2005,WARG0379,member
RG-entry_year=2005,WARG0380,member
RG-entry_year=2005,WARG0381,member
RG-entry_year=2005,WARG0382,member
RG-entry_year=2005,WARG0383,member
RG-entry_year=2005,WARG0384,member
RG-entry_year=2005,WARG0385,member
RG-entry_year=2005,WARG0410,member
RG-entry_year=2005,WARG0411,member
RG-entry_year=2005,WARG0412,member
RG-entry_year=2005,WARG0413,member
RG-entry_year=2005,WARG0414,member
RG-entry_year=2005,WARG0424,member
RG-entry_year=2005,WARG0425,member
RG-entry_year=2005,WARG0426,member
RG-entry_year=2005,WARG0427,member
RG-entry_year=2005,WARG0441,member
RG-entry_year=2005,WARG0442,member
RG-entry_year=2005,WARG0443,member
RG-entry_year=2005,WARG0444,member
RG-entry_year=2005,WARG0445,member
RG-entry_year=2005,WARG0446,member
RG-entry_year=2005,WARG0447,member
