relative_path,filename,extension,bytes,sha256,detected_encoding,encoding_status,corpus_component,text_variant,physical_status
SECCL20/AUDIO/TASK1/2003/03-162/03-162-15B.mp3,03-162-15B.mp3,.mp3,575032,c81278934dd57ff20b98b9deedd93cfe97239b4ddc8acafbfa07f715d279be3a,needs_review,needs_review,seccl_audio,,ok
SECCL20/AUDIO/TASK1/2003/03-162/03-162-16A.mp3,03-162-16A.mp3,.mp3,679104,1390fbc40e76d68e512d3ec35035d75980b45fc5b09c6a3f39fbe231c9d58264,needs_review,needs_review,seccl_audio,,ok
SECCL20/AUDIO/TASK1/2003/03-162/03-162-17B.mp3,03-162-17B.mp3,.mp3,734588,73bf7e94c4b76eacfe3a6df1dec988006d293bce55244ed94a2f867412a7a208,needs_review,needs_review,seccl_audio,,ok
SECCL20/AUDIO/TASK1/2003/03-162/03-162-18B.mp3,03-162-18B.mp3,.mp3,720273,e6fecd22160ea046753a442d3837744d91d24633c2b2c3f5b91e5d5648ffe208,needs_review,needs_review,seccl_audio,,ok
SECCL20/AUDIO/TASK1/2003/03-162/03-162-19B.mp3,03-162-19B.mp3,.mp3,583287,11129fa9868d18e88e29e851449fce0fbbf5cf172cbfda5e3bd867b9fd513558,needs_review,needs_review,seccl_audio,,ok
SECCL20/AUDIO/TASK1/2003/03-162/03-162-20A.mp3,03-162-20A.mp3,.mp3,844929,68232b19e64b214a674523a3331fed28f2cee51b1ba251e7c1b61379c62b097a,needs_review,needs_review,seccl_audio,,ok
SECCL20/AUDIO/TASK1/2003/03-162/03-162-21B.mp3,03-162-21B.mp3,.mp3,783907,c24a04815e989c3fde7d78c56922ed4e69ece6ff510bd6969f4ecf941c8dbfe6,needs_review,needs_review,seccl_audio,,ok
SECCL20/AUDIO/TASK1/2003/03-162/03-162-22A.mp3,03-162-22A.mp3,.mp3,755800,78a53fb4b30d58330342a32a3b054ca0045260030f53087f19081b830e886dc9,needs_review,needs_review,seccl_audio,,ok
SECCL20/AUDIO/TASK1/2003/03-162/03-162-23A.mp3,03-162-23A.mp3,.mp3,751411,f92efe7630e4ec6957e68bd904766bcab0e397a8bd56741c40dce2e816fe9721,needs_review,needs_review,seccl_audio,,ok
SECCL20/AUDIO/TASK1/2003/03-162/03-162-24A.mp3,03-162-24A.mp3,.mp3,774817,aeb298af6b14245256d94151553794b9b92fd126e856cbdcad6cf59ac3ce74a6,needs_review,needs_review,seccl_audio,,ok
