document_id,source_relative_path,derived_relative_path,source_sha256,corpus,domain,genre,genre_from_filename,prompt_id,major_type,entry_year,grade,timed_status,header_raw,metadata_status,metadata_source,raw_usable,lemma_usable,tagged_usable
WARG3752,WECCL20/RAW/WARG3752.txt,WECCL20/RAW/WARG3752.txt,a88f699cabbeb03a95582b07e1ba2a031bf8f304ce66c538621b4f37bf19b055,weccl_2_0,l2_writing,argumentative,argumentative,ARG17,non_english_major,2006,1,timed,<STU2><ARG17><YEAR06><GRADE1><TIMED>,parsed,raw,yes,yes,yes
WARG3753,WECCL20/RAW/WARG3753.txt,WECCL20/RAW/WARG3753.txt,77c7c69570dcdaf38fe2625b2e9f0cc66cdeb54f0f2315725520e0c8204d8050,weccl_2_0,l2_writing,argumentative,argumentative,ARG17,non_english_major,2006,1,timed,<STU2><ARG17><YEAR06><GRADE1><TIMED>,parsed,raw,yes,yes,yes
WARG3754,WECCL20/RAW/WARG3754.txt,WECCL20/RAW/WARG3754.txt,fb7bdfa28629b939db1214e6b8136c4fc3a2ddd070034116992a2fcb9f906b75,weccl_2_0,l2_writing,argumentative,argumentative,ARG17,non_english_major,2006,1,timed,<STU2><ARG17><YEAR06><GRADE1><TIMED>,parsed,raw,yes,yes,yes
WARG3755,WECCL20/RAW/WARG3755.txt,WECCL20/RAW/WARG3755.txt,2f88e0fdd77b94ad20eb4ae9276c9b2a5458dbe001433f1e8d7c438d6d6a3f42,weccl_2_0,l2_writing,argumentative,argumentative,ARG17,non_english_major,2006,1,timed,<STU2><ARG17><YEAR06><GRADE1><TIMED>,parsed,raw,yes,yes,yes
WARG3756,WECCL20/RAW/WARG3756.txt,WECCL20/RAW/WARG3756.txt,5ba766b27ef71b82dd1fd43968417e7f99a09f3ce920bce7dc2adf1a71613993,weccl_2_0,l2_writing,argumentative,argumentative,ARG17,non_english_major,2006,1,timed,<STU2><ARG17><YEAR06><GRADE1><TIMED>,parsed,raw,yes,yes,yes
WARG3757,WECCL20/RAW/WARG3757.txt,WECCL20/RAW/WARG3757.txt,e163ef1f2bd2724259f28a4dbf9568af0893ef03bcfab7b56bd068816de5b6cc,weccl_2_0,l2_writing,argumentative,argumentative,ARG17,non_english_major,2006,1,timed,<STU2><ARG17><YEAR06><GRADE1><TIMED>,parsed,raw,yes,yes,yes
WARG3758,WECCL20/RAW/WARG3758.txt,WECCL20/RAW/WARG3758.txt,d7cf77563889533ae4d5796dc46039f14b8a44d7ed022af6acea8a13571a692b,weccl_2_0,l2_writing,argumentative,argumentative,ARG17,non_english_major,2006,1,timed,<STU2><ARG17><YEAR06><GRADE1><TIMED>,parsed,raw,yes,yes,yes
WARG3759,WECCL20/RAW/WARG3759.txt,WECCL20/RAW/WARG3759.txt,0ff8398736c4a58cbb7b93f478aae8dcb0a896d122b924a6c9e612bf2142eb5d,weccl_2_0,l2_writing,argumentative,argumentative,ARG17,non_english_major,2006,1,timed,<STU2><ARG17><YEAR06><GRADE1><TIMED>,parsed,raw,yes,yes,yes
WARG3760,WECCL20/RAW/WARG3760.txt,WECCL20/RAW/WARG3760.txt,bc98cc2b2ab29e5bf639bb5fcbe355e4f86f20a746904377db0864c636dcb96e,weccl_2_0,l2_writing,argumentative,argumentative,ARG17,non_english_major,2006,1,timed,<STU2><ARG17><YEAR06><GRADE1><TIMED>,parsed,raw,yes,yes,yes
WARG3761,WECCL20/RAW/WARG3761.txt,WECCL20/RAW/WARG3761.txt,cea72d66b1b4aaec4f744b523e8d346dc929014da5cd5e8927917a8e2a2d5e9f,weccl_2_0,l2_writing,argumentative,argumentative,ARG17,non_english_major,2006,1,timed,<STU2><ARG17><YEAR06><GRADE1><TIMED>,parsed,raw,yes,yes,yes
